,M_Bio,M_Che,KO,KO_i,FBA_Bio,FBA_Che,Strain,FVA_Bio,FVA_Che,tgt,Che,Che_i
0,0.9219480950719247,0.0,['HEX1'],[496],0.9219480950505711,0.0,iJR,0.829753285545514,3.7271028052603707,90,EX_ac_e,288
1,0.9059834153894792,0.30796780293497,['PGI'],[779],0.9219480950505711,0.0,iJR,0.829753285545514,3.4214334681526206,90,EX_ac_e,288
2,0.9082821458139984,0.2580036738561802,['PFK'],[888],0.9219480950505711,0.0,iJR,0.829753285545514,3.457414356694646,90,EX_ac_e,288
3,0.9082821458139974,0.25800367385618034,['FBA'],[776],0.9219480950505711,0.0,iJR,0.829753285545514,3.4574143415214187,90,EX_ac_e,288
4,0.8445864993222695,1.6424624837729758,['TPI'],[1033],0.9219480950505711,0.0,iJR,0.829753285545514,2.247723631780947,90,EX_ac_e,288
5,0.625012684519985,6.415016326887079,['GAPD'],[427],0.9219480950505711,0.0,iJR,-200.0,-200.0,90,EX_ac_e,288
6,0.625012684519985,6.415016326887079,['PGK'],[781],0.9219480950505711,0.0,iJR,-200.0,-200.0,90,EX_ac_e,288
7,0.745293294317762,3.800653191819121,['PGM'],[784],0.9219480950505711,0.0,iJR,-200.0,-200.0,90,EX_ac_e,288
8,0.745293294317762,3.800653191819121,['ENO'],[260],0.9219480950505711,0.0,iJR,-200.0,-200.0,90,EX_ac_e,288
9,0.9219480950719274,0.0,['PYK'],[852],0.9219480950505711,0.0,iJR,0.829753285545514,3.7271028120992082,90,EX_ac_e,288
10,0.9219480950719289,0.0,['LDH_D'],[620],0.9219480950505711,0.0,iJR,0.829753285545514,3.7271028050322363,90,EX_ac_e,288
11,0.921948095071933,0.0,['PFL'],[770],0.9219480950505711,0.0,iJR,0.829753285545514,3.727102804191105,90,EX_ac_e,288
12,0.9189654937125947,0.02579541572638746,['PTAr'],[905],0.9219480950505711,0.0,iJR,0.829753285545514,3.2150128561295825,90,EX_ac_e,288
13,0.9189654937125947,0.02579541572638746,['ACKr'],[43],0.9219480950505711,0.0,iJR,0.829753285545514,3.2150128561295825,90,EX_ac_e,288
14,0.9014927680267776,0.3227808701035427,['G6PDH2r'],[393],0.9219480950505711,0.0,iJR,0.829753285545514,3.2714196541325764,90,EX_ac_e,288
15,0.9014927680267776,0.3227808701035427,['PGL'],[782],0.9219480950505711,0.0,iJR,0.829753285545514,3.2714196541325764,90,EX_ac_e,288
16,0.9014927680267827,0.32278087010354234,['GND'],[540],0.9219480950505711,0.0,iJR,0.829753285545514,3.27141966000782,90,EX_ac_e,288
17,0.0,20.0,['RPI'],[1013],0.9219480950505711,0.0,iJR,-200.0,-200.0,90,EX_ac_e,288
18,0.9084959669900238,0.16991943279661118,['RPE'],[1002],0.9219480950505711,0.0,iJR,0.829753285545514,3.387968950187127,90,EX_ac_e,288
19,0.9058250908641557,0.22821764249278137,['TKT1'],[1005],0.9219480950505711,0.0,iJR,0.829753285545514,3.3437320310759904,90,EX_ac_e,288
20,0.906132890079475,0.2214991941342052,['TALA'],[941],0.9219480950505711,0.0,iJR,0.829753285545514,3.348843310331702,90,EX_ac_e,288
21,0.911182640128232,0.11127641540805727,['TKT2'],[1006],0.9219480950505711,0.0,iJR,0.829753285545514,3.432205866158318,90,EX_ac_e,288
