,C_Bio,C_Chel,Method,Time,Tgt,Strain,K,Strategy,E_Bio,E_Che,IC_Bio,IC_Che
25,0.6199,5.58515,P,0.844,0.7,iAF1260,3,"['FRD2', 'HEX1', 'MDH']",0.6199,5.5851,0.86147,0.0
26,0.53134,7.17783,P,0.711,0.6,iAF1260,3,"['FRD2', 'HEX1', 'TKT2']",0.53134,7.17777,0.87654,0.0
27,0.44279,8.7705,P,0.678,0.5,iAF1260,3,"['FRD2', 'HEX1', 'TKT1']",0.44279,8.77044,0.87297,0.0
28,0.35423,10.36317,P,0.613,0.4,iAF1260,3,"['GLCabcpp', 'GND', 'HEX1']",0.35423,10.36312,0.86968,0.0
29,0.26567,11.95526,P,0.888,0.3,iAF1260,3,"['GLCabcpp', 'HEX1', 'RPE']",0.26567,11.9552,0.87266,0.0
30,0.17711,13.54302,P,0.91,0.2,iAF1260,3,"['HEX1', 'PGL', 'RPE']",0.17711,13.54418,0.86254,0.0
31,0.08856,15.13335,P,0.358,0.1,iAF1260,3,"['ACKr', 'G6PDH2r', 'GLCabcpp']",0.08856,15.13316,1.0,2000.0
32,0.0,16.72215,P,1.032,1.4e-16,iAF1260,3,"['ACKr', 'G6PDH2r', 'ICDHyr']",0.0,16.72214,0.0,0.0
0,0.2415,0.08007,M,1.204,1.0,iJO1366,3,"['AKGDH', 'G6PDH2r', 'MDH2']",0.2415,0.08005,1.0,2000.0
1,0.23816,0.25083,M,10.9,0.9,iJO1366,3,"['FUM', 'TKT2', 'TALA']",0.21735,2.98538,0.23819,0.2484
2,0.24005,0.25298,M,29.746,0.8,iJO1366,3,"['FUM', 'FBA', 'PGL']",0.1932,5.89071,0.24009,0.25037
3,0.18311,1.41479,M,19.064,0.7,iJO1366,3,"['FRD2', 'PFL', 'TKT2']",0.16905,8.72155,0.18311,0.06069
4,0.18311,1.41487,M,68.756,0.6,iJO1366,3,"['PFK', 'PFL', 'TKT2']",0.1449,9.8153,0.18311,0.06069
5,0.18306,1.42275,M,21.416,0.5,iJO1366,3,"['PFL', 'PTAr', 'TKT2']",0.12075,10.90905,0.18311,1.41479
6,0.11256,9.10917,M,15.16,0.4,iJO1366,3,"['ALCD2x', 'LDH_D', 'PFL']",0.0966,12.00279,0.11256,9.10913
7,0.11256,9.10914,M,51.949,0.3,iJO1366,3,"['ALCD2x', 'LDH_D', 'PFL']",0.07245,13.01748,0.11256,9.10913
8,0.05128,9.60881,M,22.426,0.2,iJO1366,3,"['ACALD', 'GLCptspp', 'PYK']",0.0483,13.93462,0.05128,9.6088
9,0.05128,9.60933,M,22.704,0.1,iJO1366,3,"['ACALD', 'GLCptspp', 'PYK']",0.02415,14.85176,0.05128,9.6088
10,-0.0,15.76889,M,2.988,1.4e-16,iJO1366,3,"['GND', 'RPE', 'RPI']",0.0,15.76889,0.0,0.0
11,0.2415,0.08007,O,0.524,1.0,iJO1366,3,"['AKGDH', 'FRD2', 'PYK']",0.2415,0.08005,1.0,2000.0
12,0.24009,0.25037,O,35.093,0.9,iJO1366,3,"['FUM', 'PGL', 'PYK']",0.21735,2.98538,0.24009,0.25037
13,0.24009,0.25037,O,57.078,0.8,iJO1366,3,"['FUM', 'FBA', 'MDH3']",0.1932,5.89071,0.24009,0.25037
14,0.18311,1.41479,O,93.484,0.7,iJO1366,3,"['LDH_D', 'PFL', 'TKT2']",0.16905,8.72155,0.18311,1.41479
15,0.18311,1.41479,O,96.327,0.6,iJO1366,3,"['MDH3', 'PFL', 'TKT2']",0.1449,9.8153,0.18311,0.06069
16,0.18311,1.41479,O,99.749,0.5,iJO1366,3,"['ACALD', 'PFL', 'TKT2']",0.12075,10.90905,0.18311,1.41479
17,0.11256,9.10913,O,48.907,0.4,iJO1366,3,"['ALCD2x', 'LDH_D', 'PFL']",0.0966,12.00279,0.11256,9.10913
18,0.11256,9.10913,O,79.082,0.3,iJO1366,3,"['ACALD', 'LDH_D', 'PFL']",0.07245,13.01748,0.11256,9.10913
19,0.05128,9.6088,O,98.326,0.2,iJO1366,3,"['ACALD', 'GLCptspp', 'PYK']",0.0483,13.93462,0.05128,9.6088
20,0.05128,9.6088,O,113.759,0.1,iJO1366,3,"['ALCD2x', 'GLCptspp', 'PYK']",0.02415,14.85176,0.05128,9.6088
21,-0.0,15.76889,O,0.859,1.4e-16,iJO1366,3,"['MDH3', 'RPI', 'TKT2']",0.0,15.76889,0.0,0.0
22,0.2415,0.08005,P,0.493,1.0,iJO1366,3,"['AKGDH', 'FRD2', 'PYK']",0.2415,0.08005,1.0,2000.0
23,0.24009,0.25037,P,4.883,0.9,iJO1366,3,"['FUM', 'PFK', 'SUCOAS']",0.21735,2.98538,0.24009,0.25037
24,0.24009,0.25037,P,13.027,0.8,iJO1366,3,"['AKGDH', 'FUM', 'SUCOAS']",0.1932,5.89071,0.24009,0.25037
25,0.24009,0.25037,P,22.317,0.7,iJO1366,3,"['FUM', 'HEX1', 'PYK']",0.16905,8.72155,0.24009,0.25037
26,0.24009,0.25037,P,32.34,0.6,iJO1366,3,"['FUM', 'GLCabcpp', 'MDH2']",0.1449,9.8153,0.24009,0.25037
27,0.24009,0.25037,P,43.735,0.5,iJO1366,3,"['FUM', 'MDH2', 'SUCOAS']",0.12075,10.90905,0.24009,0.25037
28,0.11256,9.10913,P,16.552,0.4,iJO1366,3,"['ALCD2x', 'LDH_D', 'PFL']",0.0966,12.00279,0.11256,9.10913
29,0.11256,4.23358,P,35.639,0.3,iJO1366,3,"['ACALD', 'LDH_D', 'PFL']",0.07245,13.01748,0.11256,9.10913
30,0.05128,9.6088,P,19.381,0.2,iJO1366,3,"['ALCD2x', 'GLCptspp', 'PYK']",0.0483,13.93462,0.05128,9.6088
31,0.05128,9.6088,P,21.379,0.1,iJO1366,3,"['ALCD2x', 'GLCptspp', 'PYK']",0.02415,14.85176,0.05128,9.6088
32,0.24009,0.25037,P,115.215,1.4e-16,iJO1366,3,"['FUM', 'PFK', 'SUCOAS']",0.0,15.76889,0.24009,0.25037
0,0.92195,1e-05,M,0.926,1.0,iJR904,3,"['FRD2', 'HEX1', 'MDH2']",0.92195,-0.0,0.92195,0.0
1,0.82975,3.34885,M,4.524,0.9,iJR904,3,"['FRD2', 'GND', 'TALA']",0.82975,3.7271,0.90526,0.2622
2,0.73756,7.28448,M,0.86,0.8,iJR904,3,"['ACALD', 'AKGDH', 'CS']",0.73756,7.28433,0.73756,3.96877
3,0.64536,10.43531,M,1.364,0.7,iJR904,3,"['G6PDH2r', 'GND', 'RPE']",0.64536,10.4353,0.64536,5.97268
4,0.55317,11.99414,M,2.704,0.6,iJR904,3,"['GND', 'PFK', 'RPE']",0.55317,13.02168,1.0,2000.0
5,0.46097,13.32845,M,4.371,0.5,iJR904,3,"['ENO', 'RPE', 'TKT2']",0.46097,15.52386,1.0,2000.0
6,0.36878,14.66276,M,3.968,0.4,iJR904,3,"['PGI', 'RPE', 'TPI']",0.36878,18.02605,1.0,2000.0
7,0.27658,16.0574,M,5.878,0.3,iJR904,3,"['PGI', 'TKT1', 'TPI']",0.27658,20.5049,1.0,2000.0
8,0.18439,17.33138,M,5.786,0.2,iJR904,3,"['GND', 'PGK', 'RPE']",0.18439,22.87756,1.0,2000.0
9,0.09219,25.1853,M,0.806,0.1,iJR904,3,"['CS', 'GND', 'PFK']",0.09219,25.18522,0.09219,17.9961
10,0.0,27.49286,M,1.502,1.4e-16,iJR904,3,"['CS', 'G6PDH2r', 'PFL']",0.0,27.49286,0.0,20.0
11,0.92195,0.00022,O,0.154,1.0,iJR904,3,"['ACALD', 'PYK', 'TKT2']",0.92195,-0.0,0.92195,0.0
12,0.82975,3.38798,O,6.613,0.9,iJR904,3,"['HEX1', 'RPE', 'TKT2']",0.82975,3.7271,1.0,2000.0
13,0.73756,7.0591,O,7.361,0.8,iJR904,3,"['LDH_D', 'RPE', 'TKT1']",0.73756,7.28433,0.73756,3.96877
14,0.64536,10.43541,O,0.872,0.7,iJR904,3,"['AKGDH', 'ICDHyr', 'MDH2']",0.64536,10.4353,0.64536,5.94848
15,0.55317,12.10085,O,14.695,0.6,iJR904,3,"['CS', 'PGI', 'TALA']",0.55317,13.02168,0.55317,7.97658
16,0.46097,13.42899,O,29.624,0.5,iJR904,3,"['PGI', 'TKT1', 'TPI']",0.46097,15.52386,1.0,2000.0
17,0.36878,14.74319,O,42.809,0.4,iJR904,3,"['PGI', 'TKT1', 'TPI']",0.36878,18.02605,1.0,2000.0
18,0.27658,16.0574,O,46.005,0.3,iJR904,3,"['PGI', 'TKT1', 'TPI']",0.27658,20.5049,1.0,2000.0
19,0.18439,17.3716,O,44.559,0.2,iJR904,3,"['PGI', 'TKT1', 'TPI']",0.18439,22.87756,1.0,2000.0
20,0.09219,25.18529,O,1.401,0.1,iJR904,3,"['AKGDH', 'ICDHyr', 'PGL']",0.09219,25.18522,0.09219,15.29106
21,0.0,27.49286,O,0.401,1.4e-16,iJR904,3,"['CS', 'FRD2', 'MDH']",0.0,27.49286,0.0,20.0
22,0.92195,0.0,P,0.141,1.0,iJR904,3,"['ACALD', 'PYK', 'TKT2']",0.92195,-0.0,0.92195,0.0
23,0.83255,1.90413,P,8.317,0.9,iJR904,3,"['ACALD', 'PGI', 'TKT1']",0.82975,3.7271,0.83255,1.90413
24,0.73758,3.90048,P,15.891,0.8,iJR904,3,"['PGL', 'TALA', 'TPI']",0.73756,7.28433,0.73758,3.90048
25,0.64675,5.88324,P,27.436,0.7,iJR904,3,"['HEX1', 'PGM', 'TKT2']",0.64536,10.4353,0.64675,5.88324
26,0.55737,7.88535,P,35.233,0.6,iJR904,3,"['HEX1', 'FBA', 'PGK']",0.55317,13.02168,0.55737,7.88535
27,0.49652,9.20786,P,36.295,0.5,iJR904,3,"['G6PDH2r', 'MDH', 'PGK']",0.46097,15.52386,0.49652,9.20786
28,0.49652,9.20786,P,39.607,0.4,iJR904,3,"['MDH', 'PGK', 'PGL']",0.36878,18.02605,0.49652,9.20786
29,0.27658,20.50494,P,0.797,0.3,iJR904,3,"['ICDHyr', 'MDH2', 'PGL']",0.27658,20.5049,0.27658,13.98829
30,0.49652,9.20786,P,39.168,0.2,iJR904,3,"['G6PDH2r', 'MDH', 'PGK']",0.18439,22.87756,0.49652,9.20786
31,0.09219,18.68351,P,16.347,0.1,iJR904,3,"['ICDHyr', 'PGI', 'TALA']",0.09219,25.18522,0.09219,17.99265
32,0.61916,6.48526,P,0.487,1.4e-16,iJR904,3,"['PGL', 'PGM', 'TALA']",0.0,27.49286,0.61916,6.48526
